Field=#~Integer~#~50|Field=Fitted~String~Fitted~121|Field=Comment~String~Comment~137|Field=Description~String~Description~180|Field=Designator~String~Designator~66|Field=Footprint~String~Footprint~102|Field=LibRef~String~LibRef~80|Field=Quantity~Integer~Quantity~20|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~EEar03.PrjPcb|ReportField=ProjectFullPath~Z:\Documents\zwork\ear\EEar\pcb\BoardRev03\EEar03.PrjPcb|ReportField=Title~Bill of Materials For Variant [BASECONFIG] of Project [EEar03.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~127|ReportField=ReportTime~23:34:21|ReportField=ReportDate~06.08.2017|ReportField=ReportDateTime~06.08.2017 23:34:21|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~BASECONFIG|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~06.08.2017|ReportField=CurrentTime~23:32:35|ReportField=Date~|ReportField=DocumentFullPathAndName~Z:\Documents\zwork\ear\EEar\pcb\BoardRev03\top.SchDoc|ReportField=DocumentName~top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~21.07.2017|ReportField=Organization~|ReportField=ProjectName~EEar03.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~EEar03.PrjPcb|ReportField=DataSourceFullPath~Z:\Documents\zwork\ear\EEar\pcb\BoardRev03\EEar03.PrjPcb
28|Fitted|JUMPER|RES 0.0 OHM 1/8W JUMP 0805 SMD|R32, R33, R34, R36|RESC2013X06M_CMEASURE|RES_SMD_0_CURRENT|4
29|Fitted|STM32F407VGT6||U1|TSQFP50P1600X1600X160-100M|STM32F407VGT6|1
30|Fitted|32.768KHZ||U2|SOJ550P380X254-4M|MC-306|1
31|Fitted|SL869V2||U3|SL869V2_FOOT|SL869V2|1
32|Fitted|TLV70233DBVT|TLV70233DBVT|U4, U11|SOT95P280X145-5M|TLV70233DBVT|2
33|Fitted|CY7C65213||U5, U12|SOP65P780X200-28M|CY7C65213|2
34|Fitted|ADM3070E||U6, U16|SOIC127P600X175-14N|ADM3070E|2
35|Fitted|L5973D013TR|IC REG BUCK ADJ 2.5A SOIC8|U10|SOIC127P600X175_HS-9N|L5973D013TR|1
36|Fitted|BC817||U14|SOT95P237X111-3N_SOT-23|BC817|1
37|Fitted|Buzzer||U15|pb1224pe|pb-1224pe-05q|1
38|Fitted|STEVAL-MKI129V1||U17|STEVAL-MKI129V1|STEVAL-MKI129V1|1
39|Fitted|RN2483||U19|RN2483|RN2383|1
40|Fitted|PUSH BTN||X1, X2, X3, X4, X6|PUSHBTN|SW1|5
41|Fitted|112C-TBAR-R02||X8|112C-TBAR-R02|112C-TBAR-R02|1
42|Fitted|25.000Mhz||X9|SODFL1270X420-2L|OSC25M|1
43|Fitted|PLS6||X10|PLS6|PLS6|1
44|Fitted|PATCH_ANTENNA||X11|PATCH_ANTENNA|PATCH_ANTENNA|1
45|Fitted|U.FL||X12|U.FL|U.FL|1
46|Fitted|SMA6252A2-3GT50G-50||X13|SMA6252A2-3GT50G-50|SMA_CONN|1
47|Fitted|POWER_TERM||X16|PH5|POWER_TERM|1
48|Fitted|16M2764||XS1, XS3|USB_MINI_16M2764|USB_MINI_16M2764|2
49|Not Fitted|1K|RES - 1K OHM, 5%, 1/8W, 0805 SMD|R1, R3|RESC2013X06M|RES_SMD_1K_5%|0
50|Not Fitted|0|RES 0.0 OHM 1/8W JUMP 0805 SMD|R22|RESC2013X06M|RES_SMD_0|0
51|Not Fitted|LORA_England||U7|DIP16|LORA_MODULE_E|0
52|Not Fitted|STEVAL-MKI129V1||U8|STEVAL-MKI129V1|STEVAL-MKI129V1|0
53|Not Fitted|MP45DT02||U9, U18|LGA6C165P2X3_376X472X125|MP45DT02|0
54|Not Fitted|XBeeSocket||U13|DIP20_XBEE|XBEE_Module|0
55|Not Fitted|U.FL||X5|U.FL|U.FL|0
56|Not Fitted|SMA6252A2-3GT50G-50||X7|SMA6252A2-3GT50G-50|SMA_CONN|0
57|Not Fitted|104H-TDA0-R01||X17|104H-TDA0-R01|104H-TDA0-R01|0
58|Not Fitted|16M2764||XS2|USB_MINI_16M2764|USB_MINI_16M2764|0
