Field=#~Integer~#~50|Field=Comment~String~Comment~184|Field=Description~String~Description~84|Field=Designator~String~Designator~68|Field=Footprint~String~Footprint~79|Field=LibRef~String~LibRef~81|Field=Quantity~Integer~Quantity~36|Field=Supplier 1~String~Supplier 1~154|Field=Supplier Part Number 1~String~Supplier Part Number 1~152|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~EEar04.PrjPcb|ReportField=ProjectFullPath~Z:\Documents\zwork\ear\EEar\pcb\BoardRev04\EEar04.PrjPcb|ReportField=Title~Bill of Materials For Project [EEar04.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~130|ReportField=ReportTime~22:38:36|ReportField=ReportDate~21.01.2018|ReportField=ReportDateTime~21.01.2018 22:38:36|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~20.01.2018|ReportField=CurrentTime~23:40:11|ReportField=Date~|ReportField=DocumentFullPathAndName~Z:\Documents\zwork\ear\EEar\pcb\BoardRev04\top.SchDoc|ReportField=DocumentName~top.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~20.01.2018|ReportField=Organization~|ReportField=ProjectName~EEar04.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~EEar04.PrjPcb|ReportField=DataSourceFullPath~Z:\Documents\zwork\ear\EEar\pcb\BoardRev04\EEar04.PrjPcb
20|JUMPER|RES 0.0 OHM 1/8W JUMP 0805 SMD|R1, R32, R33, R34, R36|RESC2013X06M_CMEASURE|RES_SMD_0_CURRENT|5|Digi-Key|732-5315-ND
21|510R|RES - 510 OHM, 5%, 1/8W, 0805 SMD|R2, R17|RESC2013X06M|RES_SMD_510_5%|2|Digi-Key|311-510CRCT-ND
22|4.7K|RES 4.7K OHM 1/8W 1% 0805 SMD|R4, R8, R31|RESC2013X06M|RES_SMD_4.7K_1%|3|Digi-Key|RMCF0805FT4K70CT-ND
23|1K|RES - 1K OHM, 5%, 1/8W, 0805 SMD|R5, R9, R11, R12, R13, R14, R16, R23, R24, R28|RESC2013X06M|RES_SMD_1K_5%|10|Digi-Key|P1.0KADKR-ND
24|0|RES 0.0 OHM 1/8W JUMP 0805 SMD|R6|RESC2013X06M|RES_SMD_0|1|Digi-Key|P0.0ATR-ND
25|33R|RES - 33 OHM, 5%, 1/8W, 0805 SMD|R7|RESC2013X06M|RES_SMD_33R_5%|1|Digi-Key|311-33ARCT-ND
26|10K|RES 10K OHM 1/8W 5% 0805 SMD|R10, R20, R21, R25, R37|RESC2013X06M|RES_SMD_10K_5%|5|Digi-Key|311-10KARCT-ND
27|10R|RES 10 OHM 1/8W 1% 0805 SMD|R15|RESC2013X06M|RES_SMD_10R_5%|1|Digi-Key|P10.0CCT-ND
28|100R|RES - 100 OHM, 1%, 1/8W, 0805 SMD|R18, R19|RESC2013X06M|RES_SMD_100R_1%|2|Digi-Key|311-100CRTR-ND
29|18K|RES 18K OHM 1/8W 1% 0805 SMD|R29|RESC2013X06M|RES_SMD_18K_1%|1|Digi-Key|P18.0KCCT-ND
30|47K|RES 47K OHM 1/8W 1% 0805|R30|RESC2013X06M|RES_SMD_47K_1%|1|Digi-Key|1276-5377-2-ND
